metric,n,mean,median,stddev,min,p10,p25,p75,p90,max,mad,cv
Sequential Read GiB/s,1,10.089,10.089,0.000,10.089,10.089,10.089,10.089,10.089,10.089,0.000,0.000
Sequential Write GiB/s,1,7.180,7.180,0.000,7.180,7.180,7.180,7.180,7.180,7.180,0.000,0.000
Random Read GiB/s,1,0.252,0.252,0.000,0.252,0.252,0.252,0.252,0.252,0.252,0.000,0.000
Random Write GiB/s,1,0.070,0.070,0.000,0.070,0.070,0.070,0.070,0.070,0.070,0.000,0.000
