metric,n,mean,median,stddev,min,p10,p25,p75,p90,max,mad,cv
Sequential Read GiB/s,1,9.382,9.382,0.000,9.382,9.382,9.382,9.382,9.382,9.382,0.000,0.000
Sequential Write GiB/s,1,7.393,7.393,0.000,7.393,7.393,7.393,7.393,7.393,7.393,0.000,0.000
Random Read GiB/s,1,0.254,0.254,0.000,0.254,0.254,0.254,0.254,0.254,0.254,0.000,0.000
Random Write GiB/s,1,0.067,0.067,0.000,0.067,0.067,0.067,0.067,0.067,0.067,0.000,0.000
