metric,n,mean,median,stddev,min,p10,p25,p75,p90,max,mad,cv
Sequential Read GiB/s,1,0.335,0.335,0.000,0.335,0.335,0.335,0.335,0.335,0.335,0.000,0.000
Sequential Write GiB/s,1,0.335,0.335,0.000,0.335,0.335,0.335,0.335,0.335,0.335,0.000,0.000
