metric,n,mean,median,stddev,min,p10,p25,p75,p90,max,mad,cv
Sequential Read GiB/s,5,9.821,9.768,0.082,9.755,9.757,9.761,9.891,9.913,9.928,0.013,0.008
Sequential Write GiB/s,5,7.332,7.329,0.040,7.293,7.295,7.298,7.350,7.375,7.391,0.031,0.005
Random Read GiB/s,5,0.236,0.237,0.006,0.226,0.230,0.235,0.238,0.240,0.242,0.002,0.025
Random Write GiB/s,5,0.072,0.072,0.001,0.070,0.071,0.072,0.072,0.072,0.072,0.000,0.012
