metric,n,mean,median,stddev,min,p10,p25,p75,p90,max,mad,cv
Sequential Read GiB/s,1,9.502,9.502,0.000,9.502,9.502,9.502,9.502,9.502,9.502,0.000,0.000
Sequential Write GiB/s,1,7.267,7.267,0.000,7.267,7.267,7.267,7.267,7.267,7.267,0.000,0.000
Random Read GiB/s,1,0.238,0.238,0.000,0.238,0.238,0.238,0.238,0.238,0.238,0.000,0.000
Random Write GiB/s,1,0.070,0.070,0.000,0.070,0.070,0.070,0.070,0.070,0.070,0.000,0.000
