node_group,nodes,gpus,samples,passes,status,ar_olympic_avg,ar_min..max,ar_drop_min_max,rs_olympic_avg,rs_min..max,rs_drop_min_max,ag_olympic_avg,ag_min..max,ag_drop_min_max,a2a_olympic_avg,a2a_min..max,a2a_drop_min_max,wrong,aggregation,jobs
"b0001,b0002",2,16,12/12,12/12,passed,399.868,399.770..400.010,399.770/400.010,217.261,217.080..217.380,217.080/217.380,217.186,216.900..217.340,216.900/217.340,50.467,50.460..50.470,50.460/50.470,0,olympic avg,"18094,18103,18112,18121,18130,18139,18148,18157,18166,18175,18184,18193"
"b0001,b0002,b0003,b0004",4,32,12/12,12/12,passed,217.720,217.570..217.880,217.570/217.880,217.278,217.160..217.340,217.160/217.340,217.213,217.130..217.300,217.130/217.300,33.285,33.280..33.290,33.280/33.290,0,olympic avg,"18095,18104,18113,18122,18131,18140,18149,18158,18167,18176,18185,18194"
"b0001,b0002,b0003,b0004,b0005,b0006,b0007,b0008",8,64,12/12,12/12,passed,217.835,217.540..218.010,217.540/218.010,215.893,215.590..216.140,215.590/216.140,216.128,215.810..216.740,215.810/216.740,28.648,28.640..28.650,28.640/28.650,0,olympic avg,"18096,18105,18114,18123,18132,18141,18150,18159,18168,18177,18186,18195"
"b0001,b0002,b0003,b0004,b0005,b0006,b0007,b0008,b0009,b0010,b0011,b0012,b0013,b0014,b0015,b0016",16,128,12/12,12/12,passed,202.709,201.410..203.870,201.410/203.870,215.914,215.560..216.330,215.560/216.330,216.137,215.830..216.460,215.830/216.460,26.580,26.570..26.590,26.570/26.590,0,olympic avg,"18097,18106,18115,18124,18133,18142,18151,18160,18169,18178,18187,18196"
