platform,pytorch_cpu_anchor,cpu_samples_s,dali_finalist,dali_samples_s,dali_cpu
B200,"batch 768, workers 16, prefetch 4","45,800","batch 768, threads 8, queue 2","19,982",0.44x
RTX Pro 6000,"batch 768, workers 16, prefetch 6","49,200","batch 768, threads 8, queue 4","20,107",0.41x
