batch,workers,prefetch,samples_s,retained_imbalance,retained_jitter
512,8,4,"30,551",3.60%,168
512,12,4,"42,286",4.05%,200
512,16,4,"48,593",4.71%,174
512,20,4,"47,648",6.90%,136
512,24,4,"48,655",8.63%,93
768,8,4,"31,001",3.12%,126
768,12,4,"42,926",4.05%,92
768,16,4,"49,028",4.54%,184
768,20,4,"47,973",5.22%,79
768,24,4,"48,971",7.22%,72
