platform,cpu_finalist,olympic_images_s,repeat_count,job_ids
B200,"batch 384, workers 16, prefetch 4","16,048",5,25223-25227
RTX Pro 6000,"batch 384, workers 16, prefetch 8","16,719",5,25233-25237
